;Vstup;Vıstup
1;2;3
1;4;5
1;6;7
1;8;9
1;10;11
1;12;13
1;14;15
1;16;17
1;18;19
1;20;21
1;22;23
1;24;25
1;26;27
1;28;29
1;30;31
1;32;33
1;34;35
1;36;37
1;38;39
1;40;41
1;42;43
1;44;45
1;46;47
1;48;49
1;50;51
1;52;53
1;54;55
1;56;57
1;58;59
1;60;61
1;62;63
1;64;65
1;66;67
1;68;69
1;70;71
1;72;73
1;74;75
1;76;77
1;78;79
1;80;81
1;82;83
1;84;85
1;86;87
1;88;89
1;90;91
1;92;93
1;94;95
1;96;97
1;98;99
1;100;101
1;102;103
1;104;105
1;106;107
1;108;109
1;110;111
1;112;113
1;114;115
1;116;117
1;118;119
1;120;121
1;122;123
1;124;125
1;126;127
1;128;129
2;130;131
2;132;133
2;134;135
2;136;137
2;138;139
2;140;141
2;142;143
2;144;145
2;146;147
2;148;149
2;150;151
2;152;153
2;154;155
2;156;157
2;158;159
2;160;161
2;162;163
2;164;165
2;166;167
2;168;169
2;170;171
2;172;173
2;174;175
2;176;177
2;178;179
2;180;181
2;182;183
2;184;185
2;186;187
2;188;189
2;190;191
2;192;193
2;194;195
2;196;197
2;198;199
2;200;201
2;202;203
2;204;205
2;206;207
2;208;209
2;210;211
2;212;213
2;214;215
2;216;217
2;218;219
2;220;221
2;222;223
2;224;225
2;226;227
2;228;229
2;230;231
2;232;233
2;234;235
2;236;237
2;238;239
2;240;241
2;242;243
2;244;245
2;246;247
2;248;249
2;250;251
2;252;253
2;254;255
2;256;257
2;258;259
