Partlist

Exported from K019.brd at 19.8.2013 20:03:14

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value          Package  Library  Position (mil)        Orientation

C1       100n           C-5-2X8  AUTOMAT  (5550 9150)           R270
C2       100n           C-5-2X8  AUTOMAT  (4950 8450)           R270
C3       100n           C-5-2X8  AUTOMAT  (4300 9150)           R270
C4       100n           C-5-2X8  AUTOMAT  (3700 8450)           R270
C5       100n           C-5-2X8  AUTOMAT  (3050 9150)           R270
C6       100n           C-5-2X8  AUTOMAT  (2450 8450)           R270
C7       100n           C-5-2X8  AUTOMAT  (1800 9150)           R270
C8       100n           C-5-2X8  AUTOMAT  (1200 8450)           R270
C9       100n           C-5-2X8  AUTOMAT  (2250 7750)           R270
C10      100n           C-5-2X8  AUTOMAT  (10550 9150)          R270
C11      100n           C-5-2X8  AUTOMAT  (9950 8450)           R270
C12      100n           C-5-2X8  AUTOMAT  (9300 9150)           R270
C13      100n           C-5-2X8  AUTOMAT  (8700 8450)           R270
C14      100n           C-5-2X8  AUTOMAT  (8050 9150)           R270
C15      100n           C-5-2X8  AUTOMAT  (7450 8450)           R270
C16      100n           C-5-2X8  AUTOMAT  (6800 9150)           R270
C17      100n           C-5-2X8  AUTOMAT  (6200 8450)           R270
C18      100n           C-5-2X8  AUTOMAT  (7250 7750)           R270
C19      100n           C-5-2X8  AUTOMAT  (15550 9150)          R270
C20      100n           C-5-2X8  AUTOMAT  (14950 8450)          R270
C21      100n           C-5-2X8  AUTOMAT  (14300 9150)          R270
C22      100n           C-5-2X8  AUTOMAT  (13700 8450)          R270
C23      100n           C-5-2X8  AUTOMAT  (13050 9150)          R270
C24      100n           C-5-2X8  AUTOMAT  (12450 8450)          R270
C25      100n           C-5-2X8  AUTOMAT  (11800 9150)          R270
C26      100n           C-5-2X8  AUTOMAT  (11200 8450)          R270
C27      100n           C-5-2X8  AUTOMAT  (12250 7750)          R270
C28      100n           C-5-2X8  AUTOMAT  (18050 9150)          R270
C29      100n           C-5-2X8  AUTOMAT  (17450 8450)          R270
C30      100n           C-5-2X8  AUTOMAT  (16800 9150)          R270
C31      100n           C-5-2X8  AUTOMAT  (16200 8450)          R270
C32      100n           C-5-2X8  AUTOMAT  (20550 9150)          R270
C33      100n           C-5-2X8  AUTOMAT  (19950 8450)          R270
C34      100n           C-5-2X8  AUTOMAT  (19300 9150)          R270
C35      100n           C-5-2X8  AUTOMAT  (18700 8450)          R270
C36      100n           C-5-2X8  AUTOMAT  (18500 7700)          R270
C37      100n           C-5-2X8  AUTOMAT  (5550 5950)           R270
C38      100n           C-5-2X8  AUTOMAT  (4950 6950)           R270
C39      100n           C-5-2X8  AUTOMAT  (4300 5950)           R270
C40      100n           C-5-2X8  AUTOMAT  (3700 6950)           R270
C41      100n           C-5-2X8  AUTOMAT  (3050 5950)           R270
C42      100n           C-5-2X8  AUTOMAT  (2450 6950)           R270
C43      100n           C-5-2X8  AUTOMAT  (1800 5950)           R270
C44      100n           C-5-2X8  AUTOMAT  (1200 6950)           R270
C45      100n           C-5-2X8  AUTOMAT  (3500 7750)           R270
C54      100n           C-5-2X8  AUTOMAT  (10550 5950)          R270
C55      100n           C-5-2X8  AUTOMAT  (9950 6950)           R270
C56      100n           C-5-2X8  AUTOMAT  (9300 5950)           R270
C57      100n           C-5-2X8  AUTOMAT  (8700 6950)           R270
C58      100n           C-5-2X8  AUTOMAT  (8050 5950)           R270
C59      100n           C-5-2X8  AUTOMAT  (7450 6950)           R270
C60      100n           C-5-2X8  AUTOMAT  (6800 5950)           R270
C61      100n           C-5-2X8  AUTOMAT  (6200 6950)           R270
C62      100n           C-5-2X8  AUTOMAT  (8500 7750)           R270
C71      100n           C-5-2X8  AUTOMAT  (15550 5950)          R270
C72      100n           C-5-2X8  AUTOMAT  (14950 6950)          R270
C73      100n           C-5-2X8  AUTOMAT  (14300 5950)          R270
C74      100n           C-5-2X8  AUTOMAT  (13700 6950)          R270
C75      100n           C-5-2X8  AUTOMAT  (13050 5950)          R270
C76      100n           C-5-2X8  AUTOMAT  (12450 6950)          R270
C77      100n           C-5-2X8  AUTOMAT  (11800 5950)          R270
C78      100n           C-5-2X8  AUTOMAT  (11200 6950)          R270
C79      100n           C-5-2X8  AUTOMAT  (13500 7750)          R270
C88      100n           C-5-2X8  AUTOMAT  (5550 1950)           R270
C89      100n           C-5-2X8  AUTOMAT  (4950 2950)           R270
C90      100n           C-5-2X8  AUTOMAT  (4300 1950)           R270
C91      100n           C-5-2X8  AUTOMAT  (3700 2950)           R270
C92      100n           C-5-2X8  AUTOMAT  (3050 1950)           R270
C93      100n           C-5-2X8  AUTOMAT  (2450 2950)           R270
C94      100n           C-5-2X8  AUTOMAT  (1800 1950)           R270
C95      100n           C-5-2X8  AUTOMAT  (1200 2950)           R270
C96      100n           C-5-2X8  AUTOMAT  (3500 3700)           R270
C105     100n           C-5-2X8  AUTOMAT  (10550 1950)          R270
C106     100n           C-5-2X8  AUTOMAT  (9950 2950)           R270
C107     100n           C-5-2X8  AUTOMAT  (9300 1950)           R270
C108     100n           C-5-2X8  AUTOMAT  (8700 2950)           R270
C109     100n           C-5-2X8  AUTOMAT  (8050 1950)           R270
C110     100n           C-5-2X8  AUTOMAT  (7450 2950)           R270
C111     100n           C-5-2X8  AUTOMAT  (6800 1950)           R270
C112     100n           C-5-2X8  AUTOMAT  (6200 2950)           R270
C113     100n           C-5-2X8  AUTOMAT  (8500 3700)           R270
C122     100n           C-5-2X8  AUTOMAT  (15550 1950)          R270
C123     100n           C-5-2X8  AUTOMAT  (14950 2950)          R270
C124     100n           C-5-2X8  AUTOMAT  (14300 1950)          R270
C125     100n           C-5-2X8  AUTOMAT  (13700 2950)          R270
C126     100n           C-5-2X8  AUTOMAT  (13050 1950)          R270
C127     100n           C-5-2X8  AUTOMAT  (12450 2950)          R270
C128     100n           C-5-2X8  AUTOMAT  (11800 1950)          R270
C129     100n           C-5-2X8  AUTOMAT  (11200 2950)          R270
C130     100n           C-5-2X8  AUTOMAT  (13500 3700)          R270
C139     100n           C-5-2X8  AUTOMAT  (18050 1950)          R270
C140     100n           C-5-2X8  AUTOMAT  (17450 2950)          R270
C141     100n           C-5-2X8  AUTOMAT  (16800 1950)          R270
C142     100n           C-5-2X8  AUTOMAT  (16200 2950)          R270
C143     100n           C-5-2X8  AUTOMAT  (20550 1950)          R270
C144     100n           C-5-2X8  AUTOMAT  (19950 2950)          R270
C145     100n           C-5-2X8  AUTOMAT  (19300 1950)          R270
C146     100n           C-5-2X8  AUTOMAT  (18700 2950)          R270
C147     100n           C-5-2X8  AUTOMAT  (18500 3700)          R270
C156     100n           C-5-2X8  AUTOMAT  (18650 5550)          R270
C157     100n           C-5-2X8  AUTOMAT  (17250 6950)          R270
C158     100n           C-5-2X8  AUTOMAT  (17250 7700)          R270
C159     100n           C-5-2X8  AUTOMAT  (19400 5900)          R0
C160     100n           C-5-2X8  AUTOMAT  (18500 6950)          R270
C161     100n           C-5-2X8  AUTOMAT  (19750 7050)          R0
C162     22             C-5-2X8  AUTOMAT  (15900 5750)          R0
C163     22             C-5-2X8  AUTOMAT  (15900 5550)          R0
C200     22M            EC-2/5   RIZENI   (2450 8600)           R270
C201     22M            EC-2/5   RIZENI   (7450 8600)           R270
C202     22M            EC-2/5   RIZENI   (12450 8600)          R270
C203     22M            EC-2/5   RIZENI   (17450 8610)          R270
C204     22M            EC-2/5   RIZENI   (2450 6450)           R270
C205     22M            EC-2/5   RIZENI   (6200 6450)           R270
C206     22M            EC-2/5   RIZENI   (9950 6450)           R270
C207     22M            EC-2/5   RIZENI   (13700 6450)          R270
C208     22M            EC-2/5   RIZENI   (2450 2500)           R270
C209     22M            EC-2/5   RIZENI   (7450 2500)           R270
C210     22M            EC-2/5   RIZENI   (12450 2500)          R270
C211     22M            EC-2/5   RIZENI   (17450 2500)          R270
C212     220M           EC-5     RIZENI   (19250 3600)          R270
C213     22M            EC-2/5   RIZENI   (19350 3900)          R90
C214     22M            EC-2/5   RIZENI   (19150 3900)          R90
C215     2M2            EC-2/5   RIZENI   (16750 6350)          R180
C216     2M2            EC-2/5   RIZENI   (19350 6750)          R270
C217     2M2            EC-2/5   RIZENI   (19350 6550)          R270
C218     2M2            EC-2/5   RIZENI   (19150 6550)          R270
C219     2M2            EC-2/5   RIZENI   (19150 6750)          R270
D1       5V6            D-10     DISCRETE (19950 3700)          R90
D2       LEDG           LED3     led      (16350 5100)          R0
D3       LEDR           LED3     led      (16350 4900)          R0
JP1      JTAG           2X05     pinhead  (17100 5000)          R180
JP2      ISP            2X03     pinhead  (17800 6300)          R0
K1       KON64          KON64    kac      (4400 10400)          R180
K2       KON64          KON64    kac      (9400 10400)          R180
K3       KON64          KON64    kac      (14400 10400)         R180
K4       KON34          KON34    kac      (16900 10400)         R180
K5       KON34          KON34    kac      (19400 10400)         R180
K6       KON64          KON64    kac      (4400 4400)           R180
K7       KON64          KON64    kac      (9400 4400)           R180
K8       KON64          KON64    kac      (14400 4400)          R180
K9       KON64          KON64    kac      (4400 400)            R180
K10      KON64          KON64    kac      (9400 400)            R180
K11      KON64          KON64    kac      (14400 400)           R180
K12      KON34          KON34    kac      (16900 400)           R180
K13      KON34          KON34    kac      (19400 400)           R180
K14      KLIC           ML6      con-ml   (20350 4800)          R270
K15      PSH02-03W      PSH02-03 kac      (20500 5650)          R270
K16      PSH02-02W      PSH02-02 kac      (20500 4100)          R270
K17      PSH02-02W      PSH02-02 kac      (20500 3750)          R270
K18      PSH02-02W      PSH02-02 kac      (20500 3400)          R270
K19      PWR            ML06     con-ml   (20500 9850)          R90
K20      PWR            ML06     con-ml   (20500 850)           R90
K21      RS232          D-09F/90 CONNECT  (20300 6600)          R270
Q1       14.745MHz      QS       special  (16350 5650)          R90
R1       1k             R-7,5    DISCRETE (1750 7900)           R0
R2       1k             R-7,5    DISCRETE (6750 7900)           R0
R3       1k             R-7,5    DISCRETE (11750 7900)          R0
R4       1k             R-7,5    DISCRETE (18000 7900)          R0
R5       1k             R-7,5    DISCRETE (3000 7900)           R180
R6       1k             R-7,5    AUTOMAT  (8000 7900)           R180
R7       1k             R-7,5    AUTOMAT  (13000 7900)          R180
R8       1k             R-7,5    AUTOMAT  (3000 3900)           R180
R9       1k             R-7,5    AUTOMAT  (8000 3900)           R180
R10      1k             R-7,5    AUTOMAT  (13000 3900)          R180
R11      1k             R-7,5    AUTOMAT  (18000 3900)          R180
R12      10k            R-7,5    DISCRETE (17150 6350)          R180
R13      1k             R-7,5    DISCRETE (16750 7150)          R180
R14      1k             R-7,5    DISCRETE (16750 7900)          R180
R15      2k2            R-7,5    DISCRETE (19950 5750)          R180
R16      120            R-7,5    DISCRETE (19950 5650)          R0
R17      2k2            R-7,5    DISCRETE (19950 5550)          R180
R18      1k             R-7,5    DISCRETE (16000 5100)          R0
R19      1k             R-7,5    DISCRETE (16000 4900)          R0
R20      4k7            R-7,5    RIZENI   (18915 5850)          R180
R21      4k7            R-7,5    RIZENI   (18915 5950)          R180
RN1      8x47k          G08R+    kacb     (5000 9350)           R180
RN2      8x47k          G08R+    kacb     (4400 8650)           R180
RN3      8x47k          G08R+    kacb     (3750 9350)           R180
RN4      8x47k          G08R+    kacb     (3150 8650)           R180
RN5      8x47k          G08R+    kacb     (2500 9350)           R180
RN6      8x47k          G08R+    kacb     (1900 8650)           R180
RN7      8x47k          G08R+    kacb     (1250 9350)           R180
RN8      8x47k          G08R+    kacb     (650 8650)            R180
RN9      8x47k          G08R+    kacb     (10000 9350)          R180
RN10     8x47k          G08R+    kacb     (9400 8650)           R180
RN11     8x47k          G08R+    kacb     (8750 9350)           R180
RN12     8x47k          G08R+    kacb     (8150 8650)           R180
RN13     8x47k          G08R+    kacb     (7500 9350)           R180
RN14     8x47k          G08R+    kacb     (6900 8650)           R180
RN15     8x47k          G08R+    kacb     (6250 9350)           R180
RN16     8x47k          G08R+    kacb     (5650 8650)           R180
RN17     8x47k          G08R+    kacb     (15000 9350)          R180
RN18     8x47k          G08R+    kacb     (14400 8650)          R180
RN19     8x47k          G08R+    kacb     (13750 9350)          R180
RN20     8x47k          G08R+    kacb     (13150 8650)          R180
RN21     8x47k          G08R+    kacb     (12500 9350)          R180
RN22     8x47k          G08R+    kacb     (11900 8650)          R180
RN23     8x47k          G08R+    kacb     (11250 9350)          R180
RN24     8x47k          G08R+    kacb     (10650 8650)          R180
RN25     8x47k          G08R+    kacb     (17500 9350)          R180
RN26     8x47k          G08R+    kacb     (16900 8650)          R180
RN27     8x47k          G08R+    kacb     (16250 9350)          R180
RN28     8x47k          G08R+    kacb     (15650 8650)          R180
RN29     8x47k          G08R+    kacb     (20000 9350)          R180
RN30     8x47k          G08R+    kacb     (19400 8650)          R180
RN31     8x47k          G08R+    kacb     (18750 9350)          R180
RN32     8x47k          G08R+    kacb     (18150 8650)          R180
U1       74HC573        DIL20    kac      (5400 9250)           R180
U2       74HC573        DIL20    kac      (4800 8550)           R180
U3       74HC573        DIL20    kac      (4150 9250)           R180
U4       74HC573        DIL20    kac      (3550 8550)           R180
U5       74HC573        DIL20    kac      (2900 9250)           R180
U6       74AC573        DIL20    kac      (2300 8550)           R180
U7       74HC573        DIL20    kac      (1650 9250)           R180
U8       74HC573        DIL20    kac      (1050 8550)           R180
U9       74AC138        DIL16    kac      (2100 7800)           R180
U10      74HC573        DIL20    CENTRALA (10400 9250)          R180
U11      74HC573        DIL20    CENTRALA (9800 8550)           R180
U12      74HC573        DIL20    CENTRALA (9150 9250)           R180
U13      74HC573        DIL20    CENTRALA (8550 8550)           R180
U14      74HC573        DIL20    CENTRALA (7900 9250)           R180
U15      74AC573        DIL20    CENTRALA (7300 8550)           R180
U16      74HC573        DIL20    CENTRALA (6650 9250)           R180
U17      74HC573        DIL20    CENTRALA (6050 8550)           R180
U18      74AC138        DIL16    CENTRALA (7100 7800)           R180
U19      74HC573        DIL20    CENTRALA (15400 9250)          R180
U20      74HC573        DIL20    CENTRALA (14800 8550)          R180
U21      74HC573        DIL20    CENTRALA (14150 9250)          R180
U22      74HC573        DIL20    CENTRALA (13550 8550)          R180
U23      74HC573        DIL20    CENTRALA (12900 9250)          R180
U24      74AC573        DIL20    CENTRALA (12300 8550)          R180
U25      74HC573        DIL20    CENTRALA (11650 9250)          R180
U26      74HC573        DIL20    CENTRALA (11050 8550)          R180
U27      74AC138        DIL16    CENTRALA (12100 7800)          R180
U28      74HC573        DIL20    CENTRALA (17900 9250)          R180
U29      74HC573        DIL20    CENTRALA (17300 8550)          R180
U30      74HC573        DIL20    CENTRALA (16650 9250)          R180
U31      74HC573        DIL20    CENTRALA (16050 8550)          R180
U32      74HC573        DIL20    CENTRALA (20400 9250)          R180
U33      74AC573        DIL20    CENTRALA (19800 8550)          R180
U34      74HC573        DIL20    CENTRALA (19150 9250)          R180
U35      74HC573        DIL20    CENTRALA (18550 8550)          R180
U36      74AC138        DIL16    CENTRALA (18350 7800)          R180
U37      74HC574        DIL20    kac      (5400 6050)           R180
U38      74HC574        DIL20    kac      (4800 7050)           R180
U39      74HC574        DIL20    kac      (4150 6050)           R180
U40      74HC574        DIL20    kac      (3550 7050)           R180
U41      74HC574        DIL20    kac      (2900 6050)           R180
U42      74HC574        DIL20    kac      (2300 7050)           R180
U43      74HC574        DIL20    kac      (1650 6050)           R180
U44      74HC574        DIL20    kac      (1050 7050)           R180
U45      74HC138        DIL16    kac      (3350 7800)           R180
U46      TD62783F       DIL18    kac      (5300 5650)           R180
U47      TD62783F       DIL18    kac      (4700 6650)           R180
U48      TD62783F       DIL18    kac      (4050 5650)           R180
U49      TD62783F       DIL18    kac      (3450 6650)           R180
U50      TD62783F       DIL18    kac      (2800 5650)           R180
U51      TD62783F       DIL18    kac      (2200 6650)           R180
U52      TD62783F       DIL18    kac      (1550 5650)           R180
U53      TD62783F       DIL18    kac      (950 6650)            R180
